Date,Open,High,Low,Close,Adj Close,Volume
2020-04-15,20096.349609375,20184.099609375,18776.75,19057.05078125,19057.05078125,389900
2020-04-16,18957.150390625,19520.30078125,18703.44921875,19400.0,19400.0,350300
2020-04-17,20394.75,20866.55078125,19729.30078125,20681.44921875,20681.44921875,475000
2020-04-20,21104.69921875,21122.099609375,20444.25,20522.650390625,20522.650390625,438600
2020-04-21,19812.05078125,19891.44921875,19247.94921875,19409.349609375,19409.349609375,311900
2020-04-22,19306.94921875,19806.349609375,19051.94921875,19701.849609375,19701.849609375,349400
2020-04-23,19871.349609375,20356.5,19584.400390625,20267.94921875,20267.94921875,325400
2020-04-24,19697.650390625,19950.150390625,19515.400390625,19586.650390625,19586.650390625,305700
2020-04-27,19870.80078125,20224.75,19847.650390625,20081.150390625,20081.150390625,299900
2020-04-28,20436.599609375,20751.30078125,20260.80078125,20671.099609375,20671.099609375,367800
2020-04-29,20440.400390625,21348.150390625,20393.650390625,21090.19921875,21090.19921875,400600
2020-04-30,21589.19921875,21967.0,21353.650390625,21534.5,21534.5,471500
2020-05-04,20514.75,20530.44921875,19643.599609375,19743.75,19743.75,328800
2020-05-05,20147.30078125,20223.150390625,19212.349609375,19271.75,19271.75,381300
2020-05-06,19302.44921875,19806.599609375,18941.0,19694.55078125,19694.55078125,395600
2020-05-07,19536.05078125,19757.25,19332.150390625,19491.80078125,19491.80078125,300100
2020-05-08,19844.0,19969.599609375,19285.05078125,19352.900390625,19352.900390625,0
2020-05-11,19610.44921875,19733.400390625,18900.900390625,18950.5,18950.5,342600
2020-05-12,18751.400390625,18993.400390625,18287.0,18862.849609375,18862.849609375,395400
2020-05-13,20017.75,20122.25,19429.900390625,19634.94921875,19634.94921875,520800
2020-05-14,19197.69921875,19380.099609375,19024.75,19068.5,19068.5,333000
2020-05-15,19098.80078125,19119.099609375,18683.650390625,18833.94921875,18833.94921875,240600
2020-05-18,18795.099609375,18795.099609375,17514.19921875,17573.19921875,17573.19921875,434800
2020-05-19,18037.150390625,18175.30078125,17390.650390625,17486.25,17486.25,415500
2020-05-20,17486.5,18002.650390625,17407.69921875,17840.19921875,17840.19921875,326200
2020-05-21,17901.94921875,18200.69921875,17658.55078125,17735.099609375,17735.099609375,347600
2020-05-22,17554.25,17952.25,17105.0,17278.900390625,17278.900390625,484800
2020-05-26,17537.650390625,17681.69921875,17311.25,17440.349609375,17440.349609375,336800
2020-05-27,17603.400390625,18874.25,17560.349609375,18710.55078125,18710.55078125,538000
2020-05-28,18924.44921875,19455.55078125,18818.94921875,19169.80078125,19169.80078125,561100
2020-05-29,18962.0,19358.05078125,18729.900390625,19297.25,19297.25,581700
2020-06-01,19728.900390625,20225.349609375,19632.900390625,19959.900390625,19959.900390625,558100
2020-06-02,20120.599609375,20615.75,19852.55078125,20530.19921875,20530.19921875,448300
2020-06-03,20966.599609375,21619.55078125,20822.0,20940.69921875,20940.69921875,616900
2020-06-04,20932.349609375,21141.80078125,20316.19921875,20390.44921875,20390.44921875,587900
2020-06-05,20516.400390625,21198.69921875,20425.05078125,21034.5,21034.5,637400
2020-06-08,21636.099609375,21807.400390625,20911.25,21187.349609375,21187.349609375,748100
2020-06-09,21295.5,21568.849609375,20629.69921875,20724.900390625,20724.900390625,641200
