Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,16600.650390625,17025.849609375,16599.05078125,16997.44921875,16997.44921875,83900
2016-06-06,17710.44921875,17754.150390625,17636.900390625,17671.400390625,17671.400390625,78900
2016-06-10,17830.19921875,18051.5,17815.25,17828.599609375,17828.599609375,91400
2016-07-28,19050.400390625,19126.75,18998.80078125,19076.55078125,19076.55078125,146300
2016-11-10,20200.25,20200.25,20200.25,20200.25,20200.25,0
2016-12-12,18616.05078125,18616.05078125,18364.05078125,18392.94921875,18392.94921875,0
2016-12-13,18354.099609375,18492.849609375,18291.349609375,18466.05078125,18466.05078125,0
2016-12-14,18480.349609375,18485.44921875,18322.900390625,18341.5,18341.5,0
2016-12-15,18143.5,18532.0,18122.099609375,18401.150390625,18401.150390625,0
2016-12-16,18417.900390625,18428.44921875,18268.30078125,18312.80078125,18312.80078125,0
2016-12-19,18258.099609375,18316.80078125,18215.5,18257.05078125,18257.05078125,0
2016-12-20,18264.099609375,18274.900390625,18009.80078125,18069.400390625,18069.400390625,0
2016-12-21,18124.599609375,18167.150390625,18043.94921875,18084.5,18084.5,0
2016-12-22,18027.0,18029.599609375,17839.75,17891.44921875,17891.44921875,0
2016-12-23,17849.25,17962.30078125,17819.75,17884.0,17884.0,0
2016-12-27,17677.69921875,17907.349609375,17616.099609375,17879.55078125,17879.55078125,0
2016-12-28,17929.19921875,18059.650390625,17829.150390625,17876.69921875,17876.69921875,0
2016-12-29,17861.44921875,18053.30078125,17829.400390625,18033.150390625,18033.150390625,0
2016-12-30,18026.349609375,18245.75,18016.80078125,18177.19921875,18177.19921875,0
2017-01-03,18002.75,18115.05078125,17830.94921875,18035.599609375,18035.599609375,0
2017-01-04,18037.44921875,18092.849609375,17868.900390625,17891.0,17891.0,0
2017-01-05,18000.75,18164.05078125,17977.80078125,18115.94921875,18115.94921875,0
2017-01-06,18168.44921875,18325.5,18157.30078125,18264.0,18264.0,0
2017-01-09,18314.25,18373.099609375,18256.150390625,18286.650390625,18286.650390625,0
2017-01-10,18351.44921875,18441.150390625,18275.75,18409.599609375,18409.599609375,0
2017-01-11,18535.349609375,18889.44921875,18515.25,18830.0,18830.0,0
2017-01-12,18885.44921875,18966.30078125,18805.849609375,18873.94921875,18873.94921875,0
